Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Potatoes,362787,534.0,36276.0,13.74
Potatoes,362787,534.0,36276.0,18.87
Potatoes,362787,534.0,36276.0,17.87
"Rice, paddy",83305,534.0,36276.0,16.64
"Rice, paddy",83305,534.0,36276.0,20.42
"Rice, paddy",83305,534.0,36276.0,12.35
"Rice, paddy",83305,534.0,36276.0,13.74
"Rice, paddy",83305,534.0,36276.0,18.87
"Rice, paddy",83305,534.0,36276.0,17.87
Sorghum,27367,534.0,36276.0,16.64
Sorghum,27367,534.0,36276.0,20.42
Sorghum,27367,534.0,36276.0,12.35
Sorghum,27367,534.0,36276.0,13.74
Sorghum,27367,534.0,36276.0,18.87
Sorghum,27367,534.0,36276.0,17.87
Soybeans,22136,534.0,36276.0,16.64
Soybeans,22136,534.0,36276.0,20.42
Soybeans,22136,534.0,36276.0,12.35
Soybeans,22136,534.0,36276.0,13.74
Soybeans,22136,534.0,36276.0,18.87
Soybeans,22136,534.0,36276.0,17.87
Sweet potatoes,333333,534.0,36276.0,16.64
Sweet potatoes,333333,534.0,36276.0,20.42
Sweet potatoes,333333,534.0,36276.0,12.35
Sweet potatoes,333333,534.0,36276.0,13.74
Sweet potatoes,333333,534.0,36276.0,18.87
Sweet potatoes,333333,534.0,36276.0,17.87
Wheat,19998,534.0,36276.0,16.64
Wheat,19998,534.0,36276.0,20.42
Wheat,19998,534.0,36276.0,12.35
Wheat,19998,534.0,36276.0,13.74
Wheat,19998,534.0,36276.0,18.87
Wheat,19998,534.0,36276.0,17.87
Maize,57983,534.0,34310.0,16.93
Maize,57983,534.0,34310.0,20.71
Maize,57983,534.0,34310.0,12.48
Maize,57983,534.0,34310.0,14.38
Maize,57983,534.0,34310.0,18.26
Maize,57983,534.0,34310.0,18.03
Potatoes,344117,534.0,34310.0,16.93
Potatoes,344117,534.0,34310.0,20.71
Potatoes,344117,534.0,34310.0,12.48
Potatoes,344117,534.0,34310.0,14.38
Potatoes,344117,534.0,34310.0,18.26
Potatoes,344117,534.0,34310.0,18.03
"Rice, paddy",66168,534.0,34310.0,16.93
"Rice, paddy",66168,534.0,34310.0,20.71
"Rice, paddy",66168,534.0,34310.0,12.48
"Rice, paddy",66168,534.0,34310.0,14.38
"Rice, paddy",66168,534.0,34310.0,18.26
"Rice, paddy",66168,534.0,34310.0,18.03
Sorghum,26629,534.0,34310.0,16.93
Sorghum,26629,534.0,34310.0,20.71
Sorghum,26629,534.0,34310.0,12.48
Sorghum,26629,534.0,34310.0,14.38
Sorghum,26629,534.0,34310.0,18.26
Sorghum,26629,534.0,34310.0,18.03
Soybeans,16810,534.0,34310.0,16.93
Soybeans,16810,534.0,34310.0,20.71
Soybeans,16810,534.0,34310.0,12.48
Soybeans,16810,534.0,34310.0,14.38
Soybeans,16810,534.0,34310.0,18.26
Soybeans,16810,534.0,34310.0,18.03
Sweet potatoes,336000,534.0,34310.0,16.93
Sweet potatoes,336000,534.0,34310.0,20.71
Sweet potatoes,336000,534.0,34310.0,12.48
Sweet potatoes,336000,534.0,34310.0,14.38
Sweet potatoes,336000,534.0,34310.0,18.26
Sweet potatoes,336000,534.0,34310.0,18.03
Wheat,16348,534.0,34310.0,16.93
Wheat,16348,534.0,34310.0,20.71
Wheat,16348,534.0,34310.0,12.48
Wheat,16348,534.0,34310.0,14.38
Wheat,16348,534.0,34310.0,18.26
Wheat,16348,534.0,34310.0,18.03
Maize,53856,534.0,35900.0,16.75
Maize,53856,534.0,35900.0,20.17
Maize,53856,534.0,35900.0,12.51
Maize,53856,534.0,35900.0,13.99
Maize,53856,534.0,35900.0,18.99
Maize,53856,534.0,35900.0,17.75
Potatoes,354317,534.0,35900.0,16.75
Potatoes,354317,534.0,35900.0,20.17
Potatoes,354317,534.0,35900.0,12.51
Potatoes,354317,534.0,35900.0,13.99
Potatoes,354317,534.0,35900.0,18.99
Potatoes,354317,534.0,35900.0,17.75
"Rice, paddy",98176,534.0,35900.0,16.75
"Rice, paddy",98176,534.0,35900.0,20.17
"Rice, paddy",98176,534.0,35900.0,12.51
"Rice, paddy",98176,534.0,35900.0,13.99
"Rice, paddy",98176,534.0,35900.0,18.99
"Rice, paddy",98176,534.0,35900.0,17.75
Sorghum,25205,534.0,35900.0,16.75
Sorghum,25205,534.0,35900.0,20.17
Sorghum,25205,534.0,35900.0,12.51
Sorghum,25205,534.0,35900.0,13.99
Sorghum,25205,534.0,35900.0,18.99
Sorghum,25205,534.0,35900.0,17.75
Soybeans,20993,534.0,35900.0,16.75
Soybeans,20993,534.0,35900.0,20.17
Soybeans,20993,534.0,35900.0,12.51
Soybeans,20993,534.0,35900.0,13.99
Soybeans,20993,534.0,35900.0,18.99
Soybeans,20993,534.0,35900.0,17.75
Sweet potatoes,278748,534.0,35900.0,16.75
Sweet potatoes,278748,534.0,35900.0,20.17
Sweet potatoes,278748,534.0,35900.0,12.51
Sweet potatoes,278748,534.0,35900.0,13.99
Sweet potatoes,278748,534.0,35900.0,18.99
Sweet potatoes,278748,534.0,35900.0,17.75
Wheat,20213,534.0,35900.0,16.75
Wheat,20213,534.0,35900.0,20.17
Wheat,20213,534.0,35900.0,12.51
Wheat,20213,534.0,35900.0,13.99
Wheat,20213,534.0,35900.0,18.99
Wheat,20213,534.0,35900.0,17.75
Maize,49103,534.0,32446.25,17.49
Maize,49103,534.0,32446.25,20.31
Maize,49103,534.0,32446.25,12.83
Maize,49103,534.0,32446.25,14.99
Maize,49103,534.0,32446.25,18.84
Maize,49103,534.0,32446.25,18.02
Potatoes,355463,534.0,32446.25,17.49
Potatoes,355463,534.0,32446.25,20.31
Potatoes,355463,534.0,32446.25,12.83
Potatoes,355463,534.0,32446.25,14.99
Potatoes,355463,534.0,32446.25,18.84
Potatoes,355463,534.0,32446.25,18.02
"Rice, paddy",82609,534.0,32446.25,17.49
"Rice, paddy",82609,534.0,32446.25,20.31
"Rice, paddy",82609,534.0,32446.25,12.83
"Rice, paddy",82609,534.0,32446.25,14.99
"Rice, paddy",82609,534.0,32446.25,18.84
"Rice, paddy",82609,534.0,32446.25,18.02
Sorghum,20918,534.0,32446.25,17.49
Sorghum,20918,534.0,32446.25,20.31
Sorghum,20918,534.0,32446.25,12.83
Sorghum,20918,534.0,32446.25,14.99
Sorghum,20918,534.0,32446.25,18.84
Sorghum,20918,534.0,32446.25,18.02
Soybeans,19730,534.0,32446.25,17.49
Soybeans,19730,534.0,32446.25,20.31
Soybeans,19730,534.0,32446.25,12.83
Soybeans,19730,534.0,32446.25,14.99
Soybeans,19730,534.0,32446.25,18.84
Soybeans,19730,534.0,32446.25,18.02
Sweet potatoes,346237,534.0,32446.25,17.49
Sweet potatoes,346237,534.0,32446.25,20.31
Sweet potatoes,346237,534.0,32446.25,12.83
Sweet potatoes,346237,534.0,32446.25,14.99
Sweet potatoes,346237,534.0,32446.25,18.84
Sweet potatoes,346237,534.0,32446.25,18.02
Wheat,9173,534.0,32446.25,17.49
Wheat,9173,534.0,32446.25,20.31
Wheat,9173,534.0,32446.25,12.83
Wheat,9173,534.0,32446.25,14.99
Wheat,9173,534.0,32446.25,18.84
Wheat,9173,534.0,32446.25,18.02
Maize,56912,534.0,42935.38,16.7
Maize,56912,534.0,42935.38,19.79
Maize,56912,534.0,42935.38,12.0
Maize,56912,534.0,42935.38,14.11
Maize,56912,534.0,42935.38,18.78
Maize,56912,534.0,42935.38,17.32
Potatoes,381224,534.0,42935.38,16.7
Potatoes,381224,534.0,42935.38,19.79
Potatoes,381224,534.0,42935.38,12.0
Potatoes,381224,534.0,42935.38,14.11
Potatoes,381224,534.0,42935.38,18.78
Potatoes,381224,534.0,42935.38,17.32
"Rice, paddy",75988,534.0,42935.38,16.7
"Rice, paddy",75988,534.0,42935.38,19.79
"Rice, paddy",75988,534.0,42935.38,12.0
"Rice, paddy",75988,534.0,42935.38,14.11
"Rice, paddy",75988,534.0,42935.38,18.78
"Rice, paddy",75988,534.0,42935.38,17.32
Sorghum,40252,534.0,42935.38,16.7
Sorghum,40252,534.0,42935.38,19.79
Sorghum,40252,534.0,42935.38,12.0
Sorghum,40252,534.0,42935.38,14.11
Sorghum,40252,534.0,42935.38,18.78
Sorghum,40252,534.0,42935.38,17.32
Soybeans,23289,534.0,42935.38,16.7
Soybeans,23289,534.0,42935.38,19.79
Soybeans,23289,534.0,42935.38,12.0
Soybeans,23289,534.0,42935.38,14.11
Soybeans,23289,534.0,42935.38,18.78
Soybeans,23289,534.0,42935.38,17.32
Sweet potatoes,266530,534.0,42935.38,16.7
Sweet potatoes,266530,534.0,42935.38,19.79
Sweet potatoes,266530,534.0,42935.38,12.0
Sweet potatoes,266530,534.0,42935.38,14.11
Sweet potatoes,266530,534.0,42935.38,18.78
Sweet potatoes,266530,534.0,42935.38,17.32
Wheat,10788,534.0,42935.38,16.7
Wheat,10788,534.0,42935.38,19.79
Wheat,10788,534.0,42935.38,12.0
Wheat,10788,534.0,42935.38,14.11
Wheat,10788,534.0,42935.38,18.78
Wheat,10788,534.0,42935.38,17.32
Maize,58171,534.0,38065.68,17.39
Maize,58171,534.0,38065.68,20.65
Maize,58171,534.0,38065.68,12.87
Maize,58171,534.0,38065.68,14.65
Maize,58171,534.0,38065.68,19.01
Maize,58171,534.0,38065.68,18.18
Potatoes,361747,534.0,38065.68,17.39
Potatoes,361747,534.0,38065.68,20.65
Potatoes,361747,534.0,38065.68,12.87
Potatoes,361747,534.0,38065.68,14.65
Potatoes,361747,534.0,38065.68,19.01
Potatoes,361747,534.0,38065.68,18.18
"Rice, paddy",84609,534.0,38065.68,17.39
"Rice, paddy",84609,534.0,38065.68,20.65
"Rice, paddy",84609,534.0,38065.68,12.87
"Rice, paddy",84609,534.0,38065.68,14.65
"Rice, paddy",84609,534.0,38065.68,19.01
"Rice, paddy",84609,534.0,38065.68,18.18
Sorghum,35096,534.0,38065.68,17.39
Sorghum,35096,534.0,38065.68,20.65
Sorghum,35096,534.0,38065.68,12.87
Sorghum,35096,534.0,38065.68,14.65
Sorghum,35096,534.0,38065.68,19.01
Sorghum,35096,534.0,38065.68,18.18
Soybeans,18926,534.0,38065.68,17.39
Soybeans,18926,534.0,38065.68,20.65
Soybeans,18926,534.0,38065.68,12.87
Soybeans,18926,534.0,38065.68,14.65
Soybeans,18926,534.0,38065.68,19.01
Soybeans,18926,534.0,38065.68,18.18
Sweet potatoes,250797,534.0,38065.68,17.39
Sweet potatoes,250797,534.0,38065.68,20.65
Sweet potatoes,250797,534.0,38065.68,12.87
Sweet potatoes,250797,534.0,38065.68,14.65
Sweet potatoes,250797,534.0,38065.68,19.01
Sweet potatoes,250797,534.0,38065.68,18.18
Wheat,15831,534.0,38065.68,17.39
Wheat,15831,534.0,38065.68,20.65
Wheat,15831,534.0,38065.68,12.87
Wheat,15831,534.0,38065.68,14.65
Wheat,15831,534.0,38065.68,19.01
Wheat,15831,534.0,38065.68,18.18
Maize,55593,534.0,42169.39,16.72
Maize,55593,534.0,42169.39,20.33
Maize,55593,534.0,42169.39,12.37
Maize,55593,534.0,42169.39,14.23
Maize,55593,534.0,42169.39,19.09
Maize,55593,534.0,42169.39,18.0
Potatoes,351334,534.0,42169.39,16.72
Potatoes,351334,534.0,42169.39,20.33
Potatoes,351334,534.0,42169.39,12.37
Potatoes,351334,534.0,42169.39,14.23
Potatoes,351334,534.0,42169.39,19.09
Potatoes,351334,534.0,42169.39,18.0
"Rice, paddy",103895,534.0,42169.39,16.72
"Rice, paddy",103895,534.0,42169.39,20.33
"Rice, paddy",103895,534.0,42169.39,12.37
"Rice, paddy",103895,534.0,42169.39,14.23
"Rice, paddy",103895,534.0,42169.39,19.09
"Rice, paddy",103895,534.0,42169.39,18.0
Sorghum,30279,534.0,42169.39,16.72
Sorghum,30279,534.0,42169.39,20.33
Sorghum,30279,534.0,42169.39,12.37
Sorghum,30279,534.0,42169.39,14.23
Sorghum,30279,534.0,42169.39,19.09
Sorghum,30279,534.0,42169.39,18.0
Soybeans,19042,534.0,42169.39,16.72
Soybeans,19042,534.0,42169.39,20.33
Soybeans,19042,534.0,42169.39,12.37
Soybeans,19042,534.0,42169.39,14.23
Soybeans,19042,534.0,42169.39,19.09
Soybeans,19042,534.0,42169.39,18.0
Sweet potatoes,305974,534.0,42169.39,16.72
Sweet potatoes,305974,534.0,42169.39,20.33
Sweet potatoes,305974,534.0,42169.39,12.37
Sweet potatoes,305974,534.0,42169.39,14.23
Sweet potatoes,305974,534.0,42169.39,19.09
Sweet potatoes,305974,534.0,42169.39,18.0
Wheat,15729,534.0,42169.39,16.72
Wheat,15729,534.0,42169.39,20.33
Wheat,15729,534.0,42169.39,12.37
Wheat,15729,534.0,42169.39,14.23
Wheat,15729,534.0,42169.39,19.09
Wheat,15729,534.0,42169.39,18.0
Maize,57390,534.0,47632.99,16.9
Maize,57390,534.0,47632.99,19.88
Maize,57390,534.0,47632.99,12.16
Maize,57390,534.0,47632.99,14.19
Maize,57390,534.0,47632.99,19.99
Maize,57390,534.0,47632.99,17.71
Potatoes,350887,534.0,47632.99,16.9
Potatoes,350887,534.0,47632.99,19.88
Potatoes,350887,534.0,47632.99,12.16
Potatoes,350887,534.0,47632.99,14.19
Potatoes,350887,534.0,47632.99,19.99
Potatoes,350887,534.0,47632.99,17.71
"Rice, paddy",95441,534.0,47632.99,16.9
"Rice, paddy",95441,534.0,47632.99,19.88
"Rice, paddy",95441,534.0,47632.99,12.16
"Rice, paddy",95441,534.0,47632.99,14.19
"Rice, paddy",95441,534.0,47632.99,19.99
"Rice, paddy",95441,534.0,47632.99,17.71
Sorghum,30558,534.0,47632.99,16.9
Sorghum,30558,534.0,47632.99,19.88
Sorghum,30558,534.0,47632.99,12.16
Sorghum,30558,534.0,47632.99,14.19
Sorghum,30558,534.0,47632.99,19.99
Sorghum,30558,534.0,47632.99,17.71
Soybeans,17136,534.0,47632.99,16.9
Soybeans,17136,534.0,47632.99,19.88
Soybeans,17136,534.0,47632.99,12.16
Soybeans,17136,534.0,47632.99,14.19
Soybeans,17136,534.0,47632.99,19.99
Soybeans,17136,534.0,47632.99,17.71
Sweet potatoes,319252,534.0,47632.99,16.9
Sweet potatoes,319252,534.0,47632.99,19.88
Sweet potatoes,319252,534.0,47632.99,12.16
Sweet potatoes,319252,534.0,47632.99,14.19
Sweet potatoes,319252,534.0,47632.99,19.99
Sweet potatoes,319252,534.0,47632.99,17.71
Wheat,20301,534.0,47632.99,16.9
Wheat,20301,534.0,47632.99,19.88
Wheat,20301,534.0,47632.99,12.16
Wheat,20301,534.0,47632.99,14.19
Wheat,20301,534.0,47632.99,19.99
Wheat,20301,534.0,47632.99,17.71
Maize,64654,534.0,48687.88,16.84
Maize,64654,534.0,48687.88,20.08
Maize,64654,534.0,48687.88,11.79
Maize,64654,534.0,48687.88,14.27
Maize,64654,534.0,48687.88,19.55
Maize,64654,534.0,48687.88,17.47
"Rice, paddy",89098,534.0,48687.88,16.84
"Rice, paddy",89098,534.0,48687.88,20.08
"Rice, paddy",89098,534.0,48687.88,11.79
"Rice, paddy",89098,534.0,48687.88,14.27
"Rice, paddy",89098,534.0,48687.88,19.55
"Rice, paddy",89098,534.0,48687.88,17.47
Sorghum,33960,534.0,48687.88,16.84
Sorghum,33960,534.0,48687.88,20.08
Sorghum,33960,534.0,48687.88,11.79
Sorghum,33960,534.0,48687.88,14.27
Sorghum,33960,534.0,48687.88,19.55
Sorghum,33960,534.0,48687.88,17.47
Soybeans,22598,534.0,48687.88,16.84
Soybeans,22598,534.0,48687.88,20.08
Soybeans,22598,534.0,48687.88,11.79
Soybeans,22598,534.0,48687.88,14.27
Soybeans,22598,534.0,48687.88,19.55
Soybeans,22598,534.0,48687.88,17.47
Sweet potatoes,331853,534.0,48687.88,16.84
Sweet potatoes,331853,534.0,48687.88,20.08
Sweet potatoes,331853,534.0,48687.88,11.79
Sweet potatoes,331853,534.0,48687.88,14.27
Sweet potatoes,331853,534.0,48687.88,19.55
Sweet potatoes,331853,534.0,48687.88,17.47
Wheat,21511,534.0,48687.88,16.84
Wheat,21511,534.0,48687.88,20.08
Wheat,21511,534.0,48687.88,11.79
Wheat,21511,534.0,48687.88,14.27
Wheat,21511,534.0,48687.88,19.55
Wheat,21511,534.0,48687.88,17.47
Maize,64441,534.0,45177.18,17.39
Maize,64441,534.0,45177.18,20.14
Maize,64441,534.0,45177.18,12.19
Maize,64441,534.0,45177.18,14.74
Maize,64441,534.0,45177.18,19.98
Maize,64441,534.0,45177.18,18.09
"Rice, paddy",102177,534.0,45177.18,17.39
"Rice, paddy",102177,534.0,45177.18,20.14
"Rice, paddy",102177,534.0,45177.18,12.19
"Rice, paddy",102177,534.0,45177.18,14.74
"Rice, paddy",102177,534.0,45177.18,19.98
"Rice, paddy",102177,534.0,45177.18,18.09
Sorghum,34419,534.0,45177.18,17.39
Sorghum,34419,534.0,45177.18,20.14
Sorghum,34419,534.0,45177.18,12.19
Sorghum,34419,534.0,45177.18,14.74
Sorghum,34419,534.0,45177.18,19.98
Sorghum,34419,534.0,45177.18,18.09
Soybeans,22336,534.0,45177.18,17.39
Soybeans,22336,534.0,45177.18,20.14
Soybeans,22336,534.0,45177.18,12.19
Soybeans,22336,534.0,45177.18,14.74
Soybeans,22336,534.0,45177.18,19.98
Soybeans,22336,534.0,45177.18,18.09
Sweet potatoes,344391,534.0,45177.18,17.39
Sweet potatoes,344391,534.0,45177.18,20.14
Sweet potatoes,344391,534.0,45177.18,12.19
Sweet potatoes,344391,534.0,45177.18,14.74
Sweet potatoes,344391,534.0,45177.18,19.98
Sweet potatoes,344391,534.0,45177.18,18.09
Wheat,17609,534.0,45177.18,17.39
Wheat,17609,534.0,45177.18,20.14
Wheat,17609,534.0,45177.18,12.19
Wheat,17609,534.0,45177.18,14.74
Wheat,17609,534.0,45177.18,19.98
Wheat,17609,534.0,45177.18,18.09
Maize,81800,1110.0,4246.0,9.23
Potatoes,249854,1110.0,4246.0,9.23
Soybeans,19046,1110.0,4246.0,9.23
Wheat,50479,1110.0,4246.0,9.23
Maize,84800,1110.0,4487.0,8.15
Potatoes,236372,1110.0,4487.0,8.15
Soybeans,24958,1110.0,4487.0,8.15
Wheat,50735,1110.0,4487.0,8.15
Maize,64800,1110.0,3897.0,9.49
Potatoes,223470,1110.0,3897.0,9.49
Soybeans,17480,1110.0,3897.0,9.49
Wheat,53938,1110.0,3897.0,9.49
Maize,89710,1110.0,3984.0,8.48
Potatoes,284925,1110.0,3984.0,8.48
Soybeans,23168,1110.0,3984.0,8.48
Wheat,42246,1110.0,3984.0,8.48
Maize,79160,1110.0,3619.0,9.89
Potatoes,199650,1110.0,3619.0,9.89
Soybeans,22505,1110.0,3619.0,9.89
Wheat,52088,1110.0,3619.0,9.89
Maize,85000,1110.0,3402.0,8.79
Potatoes,267949,1110.0,3402.0,8.79
Soybeans,22768,1110.0,3402.0,8.79
Wheat,50856,1110.0,3402.0,8.79
Maize,86200,1110.0,3565.0,7.4
Potatoes,291997,1110.0,3565.0,7.4
Soybeans,20100,1110.0,3565.0,7.4
Wheat,50069,1110.0,3565.0,7.4
Maize,97800,1110.0,3689.6,8.37
Potatoes,288325,1110.0,3689.6,8.37
Soybeans,22000,1110.0,3689.6,8.37
Wheat,52044,1110.0,3689.6,8.37
Maize,96100,1110.0,3340.3,9.01
Potatoes,283064,1110.0,3340.3,9.01
Soybeans,25189,1110.0,3340.3,9.01
Wheat,50749,1110.0,3340.3,9.01
Maize,96000,1110.0,3418.6,9.17
Potatoes,307044,1110.0,3418.6,9.17
Soybeans,27209,1110.0,3418.6,9.17
Wheat,54348,1110.0,3418.6,9.17
Maize,98600,1110.0,3563.2,10.08
Potatoes,292627,1110.0,3563.2,10.08
Soybeans,21139,1110.0,3563.2,10.08
Wheat,44688,1110.0,3563.2,10.08
Maize,90869,1110.0,3132.2,8.75
Potatoes,300394,1110.0,3132.2,8.75
Soybeans,20736,1110.0,3132.2,8.75
Wheat,52412,1110.0,3132.2,8.75
Maize,99815,1110.0,3079.2,9.62
Potatoes,303832,1110.0,3079.2,9.62
Soybeans,25244,1110.0,3079.2,9.62
Wheat,49667,1110.0,3079.2,9.62
Maize,96544,1110.0,3301.7,8.76
Potatoes,316117,1110.0,3301.7,8.76
Soybeans,25092,1110.0,3301.7,8.76
Wheat,59234,1110.0,3301.7,8.76
Maize,106570,1110.0,3404.0,8.6
Potatoes,343985,1110.0,3404.0,8.6
Soybeans,28267,1110.0,3404.0,8.6
Wheat,50286,1110.0,3404.0,8.6
Maize,96370,1110.0,3415.7,9.13
Potatoes,298641,1110.0,3415.7,9.13
Soybeans,25970,1110.0,3415.7,9.13
Wheat,49066,1110.0,3415.7,9.13
Maize,103128,1110.0,3526.6,10.03
Potatoes,294931,1110.0,3526.6,10.03
Soybeans,26211,1110.0,3526.6,10.03
Wheat,47763,1110.0,3526.6,10.03
Maize,113173,1110.0,4246.7,9.96
Potatoes,331993,1110.0,4246.7,9.96
Soybeans,29369,1110.0,4246.7,9.96
Wheat,56935,1110.0,4246.7,9.96
Maize,108293,1110.0,3531.8,9.48
Potatoes,324947,1110.0,3531.8,9.48
Soybeans,28171,1110.0,3531.8,9.48
Wheat,49295,1110.0,3531.8,9.48
Maize,97247,1110.0,3692.4,8.36
Potatoes,305703,1110.0,3692.4,8.36
Sorghum,67666,1110.0,3692.4,8.36
Soybeans,27501,1110.0,3692.4,8.36
Wheat,50117,1110.0,3692.4,8.36
Maize,112996,1110.0,3441.5,9.42
Potatoes,357127,1110.0,3441.5,9.42
Sorghum,67299,1110.0,3441.5,9.42
Soybeans,28691,1110.0,3441.5,9.42
Wheat,58549,1110.0,3441.5,9.42
Maize,107025,1110.0,3563.3,9.42
Potatoes,305491,1110.0,3563.3,9.42
Sorghum,68081,1110.0,3563.3,9.42
Soybeans,28051,1110.0,3563.3,9.42
Wheat,41388,1110.0,3563.3,9.42
Maize,81173,1110.0,3108.6,10.03
Potatoes,285897,1110.0,3108.6,10.03
Sorghum,52447,1110.0,3108.6,10.03
Soybeans,19697,1110.0,3108.6,10.03
Wheat,53743,1110.0,3108.6,10.03
Maize,18740,447.0,148.68,10.93
Potatoes,82701,447.0,148.68,10.93
"Rice, paddy",7292,447.0,148.68,10.93
Sorghum,578,447.0,148.68,10.93
Soybeans,1141,447.0,148.68,10.93
Wheat,21705,447.0,148.68,10.93
Maize,13918,447.0,148.68,10.53
Potatoes,78059,447.0,148.68,10.53
"Rice, paddy",9461,447.0,148.68,10.53
Sorghum,1659,447.0,148.68,10.53
Soybeans,811,447.0,148.68,10.53
Wheat,16855,447.0,148.68,10.53
Maize,14619,447.0,148.68,11.32
Potatoes,82623,447.0,148.68,11.32
"Rice, paddy",10059,447.0,148.68,11.32
Sorghum,2323,447.0,148.68,11.32
Soybeans,1905,447.0,148.68,11.32
Wheat,16296,447.0,148.68,11.32
Maize,11810,447.0,148.68,12.81
Potatoes,97450,447.0,148.68,12.81
"Rice, paddy",19890,447.0,148.68,12.81
Sorghum,1317,447.0,148.68,12.81
Soybeans,10000,447.0,148.68,12.81
Wheat,14940,447.0,148.68,12.81
Maize,17369,447.0,148.68,11.96
Potatoes,101359,447.0,148.68,11.96
"Rice, paddy",36917,447.0,148.68,11.96
Sorghum,1389,447.0,148.68,11.96
Soybeans,9363,447.0,148.68,11.96
Wheat,16627,447.0,148.68,11.96
Maize,24340,447.0,148.68,11.89
Potatoes,82711,447.0,148.68,11.89
"Rice, paddy",46082,447.0,148.68,11.89
Sorghum,833,447.0,148.68,11.89
Soybeans,10667,447.0,148.68,11.89
Wheat,16914,447.0,148.68,11.89
Maize,29541,447.0,148.68,12.79
Potatoes,95259,447.0,148.68,12.79
"Rice, paddy",48046,447.0,148.68,12.79
Sorghum,857,447.0,148.68,12.79
Soybeans,11111,447.0,148.68,12.79
Wheat,15764,447.0,148.68,12.79
Maize,35343,447.0,148.68,12.74
Potatoes,95214,447.0,148.68,12.74
"Rice, paddy",44415,447.0,148.68,12.74
Soybeans,12000,447.0,148.68,12.74
Wheat,19992,447.0,148.68,12.74
Maize,32484,447.0,148.68,12.61
Potatoes,89357,447.0,148.68,12.61
"Rice, paddy",50191,447.0,148.68,12.61
Sorghum,2434,447.0,148.68,12.61
Soybeans,11940,447.0,148.68,12.61
Wheat,23223,447.0,148.68,12.61
Maize,37823,447.0,148.68,12.97
Potatoes,109774,447.0,148.68,12.97
"Rice, paddy",48495,447.0,148.68,12.97
Soybeans,12222,447.0,148.68,12.97
Wheat,26154,447.0,148.68,12.97
Maize,43463,447.0,148.68,12.45
Potatoes,121132,447.0,148.68,12.45
"Rice, paddy",46532,447.0,148.68,12.45
Wheat,26028,447.0,148.68,12.45
Maize,46071,447.0,148.68,12.76
Potatoes,141416,447.0,148.68,12.76
"Rice, paddy",39810,447.0,148.68,12.76
Soybeans,17568,447.0,148.68,12.76
Wheat,25748,447.0,148.68,12.76
Maize,47703,447.0,148.68,12.88
Potatoes,153215,447.0,148.68,12.88
"Rice, paddy",35903,447.0,148.68,12.88
Soybeans,5789,447.0,148.68,12.88
Wheat,25818,447.0,148.68,12.88
Maize,45777,447.0,148.68,12.66
Potatoes,149497,447.0,148.68,12.66
"Rice, paddy",42375,447.0,148.68,12.66
Sorghum,10000,447.0,148.68,12.66
Soybeans,4906,447.0,148.68,12.66
Wheat,26050,447.0,148.68,12.66
Maize,46175,447.0,148.68,12.75
Potatoes,154570,447.0,148.68,12.75
"Rice, paddy",33886,447.0,148.68,12.75
Soybeans,4000,447.0,148.68,12.75
Wheat,26722,447.0,148.68,12.75
Maize,47784,447.0,262.99,12.3
Potatoes,156430,447.0,262.99,12.3
"Rice, paddy",27973,447.0,262.99,12.3
Sorghum,12000,447.0,262.99,12.3
Soybeans,5000,447.0,262.99,12.3
Wheat,27251,447.0,262.99,12.3
Maize,47990,447.0,316.18,12.6
Potatoes,149950,447.0,316.18,12.6
"Rice, paddy",25279,447.0,316.18,12.6
Soybeans,6677,447.0,316.18,12.6
Wheat,25946,447.0,316.18,12.6
Maize,45551,447.0,333.85,13.85
Potatoes,144945,447.0,333.85,13.85
"Rice, paddy",23963,447.0,333.85,13.85
Soybeans,7136,447.0,333.85,13.85
Wheat,19381,447.0,333.85,13.85
Maize,45460,447.0,461.84,11.79
Potatoes,143973,447.0,461.84,11.79
"Rice, paddy",20947,447.0,461.84,11.79
Soybeans,6717,447.0,461.84,11.79
Wheat,24376,447.0,461.84,11.79
Maize,51029,447.0,516.35,13.0
Potatoes,146740,447.0,516.35,13.0
"Rice, paddy",22249,447.0,516.35,13.0
Sorghum,1500,447.0,516.35,13.0
Soybeans,6587,447.0,516.35,13.0
Wheat,26144,447.0,516.35,13.0
Maize,53903,447.0,489.8,14.12
Potatoes,151999,447.0,489.8,14.12
"Rice, paddy",22808,447.0,489.8,14.12
Sorghum,5000,447.0,489.8,14.12
Soybeans,6457,447.0,489.8,14.12
Wheat,26719,447.0,489.8,14.12
Cassava,95859,1292.0,484.59,25.1
Maize,16667,1292.0,484.59,25.1
Sweet potatoes,31586,1292.0,484.59,25.1
Cassava,90909,1292.0,484.59,25.26
Maize,16000,1292.0,484.59,25.26
Sweet potatoes,31571,1292.0,484.59,25.26
Cassava,80000,1292.0,484.59,25.73
Maize,17931,1292.0,484.59,25.73
Sweet potatoes,31254,1292.0,484.59,25.73
Cassava,77089,1292.0,484.59,25.44
Maize,17931,1292.0,484.59,25.44
Sweet potatoes,30714,1292.0,484.59,25.44
Cassava,75783,1292.0,484.59,25.06
Maize,17931,1292.0,484.59,25.06
Sweet potatoes,31324,1292.0,484.59,25.06
Cassava,75317,1292.0,484.59,25.81
Maize,17400,1292.0,484.59,25.81
Sweet potatoes,30800,1292.0,484.59,25.81
